mtime,AK,AS,BE,CS,CT,CU,CY,DH,DJ,DK,DP,EZ,FJ,FP,FR,GL,GP,GT,GV,I,JT,JX,KO,KU,KW,KY,KZ,MR,N,NX,NZ,QS,QX,RS,SW
2021-11-01T02:05,5824434,6003140,7659964,7724966,7991592,6165861,7988186,6780008,7632067,6402570,6737262,6619204,6717162,6696957,7810181,8293958,6218649,7184669,8598508,5370696,8594679,7550539,6504947,5872615,9033509,6138570,10324339,7642200,7207186,5286552,8244701,8468407,7121951,5334866,7615297
2021-11-01T02:10,7166118,7280280,6378625,7657607,8171969,7299284,6704284,7240210,6084968,9933027,8790428,8019641,8861622,4799980,8800537,9193940,6264446,7197692,6911877,7129671,7194817,7496792,7720287,8158532,5793930,5721627,6961581,7043535,8401689,6786416,7798029,5624788,7068476,8190872,6403905
2021-11-01T02:15,8272681,7844707,6489036,6680234,8645789,5654177,7072652,6471064,7886486,7219949,6435166,7720265,5998230,8447061,5254105,8949977,7174231,8171320,7117018,8111293,7787726,6624837,9628855,9606918,7246920,6508301,6863524,5908143,8524566,5960435,10040510,6503928,8480819,8142456,7092574
2021-11-01T02:20,5171199,7390770,7915467,7976936,6496835,7915350,5721079,6906946,5492730,7212020,7025775,7924604,9198408,6709365,6721922,6347446,8008255,6920683,5983381,7341005,8134166,6965122,8636776,7681316,6274022,8923577,7081002,8705392,6852163,7043625,6166951,8110062,8396432,6593879,6928620
2021-11-01T02:25,7817187,6257385,8497882,8697322,8559991,8752744,8234775,5488838,8044003,6993219,6773269,7363163,5563897,6146592,8140611,6235488,6225655,5769709,4251733,6310348,6381957,7400294,8755890,6921561,6411366,7881977,9152179,7456021,4180057,7368069,9676357,8411463,7847022,7262644,6045180
2021-11-01T02:30,9562995,8154301,6692584,6620799,9158826,8166068,9867721,7882294,8344841,8000113,6672614,7275213,8586921,6202761,6920844,5993461,6305193,7457818,7226135,8578905,6495443,7349034,7415665,7660792,8843107,7499645,6805876,8043100,5992541,8185938,8130685,7283347,6619877,8157055,8376314
2021-11-01T02:35,9955276,7129102,6826103,8052142,8860139,7199161,7613859,6515087,6937287,6763433,6803278,6255032,5795986,7182688,6704598,7951706,7752268,6746253,8780711,5657668,7507980,6942150,6205546,6720106,7213858,5472824,7630403,7039336,6488300,8139088,8226104,7544393,8806264,8090825,8771554
2021-11-01T02:40,7320741,5525944,6593465,7303825,7857295,6175089,8580902,7407940,8302743,7426120,6692541,8056854,7245713,7960836,7927284,5122191,8372545,7302447,7341535,4672049,6858610,8006046,6928806,5233470,9417563,7478208,6982377,6628047,5687691,7152221,6882915,5720227,6045315,7560028,6499958
2021-11-01T02:45,6770320,7898984,7422758,6952430,6265912,8541438,8276944,8880129,8221948,6508059,7890560,7592048,8914271,7302536,6709367,7366291,7579880,8212102,9567248,7083395,7997302,7460713,7667171,5895945,7195374,9058571,6237689,5717678,6136778,7905007,8266553,6761603,8272266,6387918,8011859
2021-11-01T02:50,8804618,5736432,8992697,7729962,6636047,7046030,7338518,5761731,7530284,7720404,7295390,9250229,7823377,5804694,8649387,6184528,9131855,7467688,7622363,8046597,8488665,9867646,7104302,9337252,8951301,6831606,7261755,7720263,7072773,9289348,6460645,7755888,6834122,8765772,7050607
2021-11-01T02:55,7940638,6186741,8786197,8271156,9066193,8473734,5230840,7306066,7790286,7360682,6227177,8311525,6246054,7638348,7073057,5976509,6631689,8076032,9090729,7278894,7697206,5547754,10115050,8690556,6778824,8212775,9063933,7886854,7159676,7672876,7045074,6697266,7325428,9176371,6892735
2021-11-01T03:00,7745508,8290643,9361331,6158532,7633956,6349856,7417823,7466691,8402036,6650371,8180673,8147287,6565337,6178144,7713154,9066159,8185278,9031151,7705804,6245297,6832785,7003118,6980772,5839576,6297617,7729486,9160300,7512480,6693800,6948435,7904443,6131505,7869484,6867203,7547299
2021-11-01T03:05,6186455,7260402,6545920,8011202,7431603,7600584,8530922,8575166,6925153,7102861,8119492,6390143,4746368,9193887,7315329,6808564,5196123,9597159,5999605,7197963,6737464,6345558,8269194,9866501,7110235,7578334,8237360,8388128,7027921,6733124,6562988,7780735,7933635,7887875,7571053
2021-11-01T03:10,7552227,8112951,8113696,6890504,9089298,7432990,5705214,9048231,7167864,8753246,7789013,5311617,8025526,10208488,7892640,7253510,7856649,8156225,6951139,6630242,5950863,7307424,6224192,6876646,6234318,6051071,8130395,6868140,4948369,7382145,6061529,6946184,6194373,7940928,7218908
2021-11-01T03:15,7397200,7101156,6685255,5750382,7805571,6163872,8088736,8703008,6937167,7533243,5847324,8172303,6173475,9096514,5767556,9443873,7409034,8471441,6930557,6721276,7850057,8131141,7096182,7099029,8445254,8751393,9363625,9741211,7795855,8151184,7096445,9823042,6747526,8467136,6766675
2021-11-01T03:20,6276906,7273944,6479977,6279295,7168357,6837051,6482788,6212404,7748619,6665930,7404766,7761338,7745208,7616105,9108460,5972299,7756407,9045577,8325958,5979227,8152228,9803489,7927498,7296343,5535331,7415424,7742141,8055787,7413212,3805836,7415074,7141017,6093128,8669683,8064883
2021-11-01T03:25,7835030,7461057,7766141,6427595,7769410,6581739,7175494,7260745,7387240,7302976,6272419,6038215,7669958,7384543,7614430,8262251,8303497,6885929,8002766,7488282,6973661,8364684,7146479,7458754,8650562,6578600,8115814,8368874,8442830,6408340,8210504,9920840,7904333,6207536,6147641
2021-11-01T03:30,7900838,9680849,7913331,4748064,7148609,8557565,7761009,7787470,8573113,7401565,5506719,6841685,6353661,6820687,7303345,8283685,5969324,7528451,7395909,5668913,8643991,7330531,9651183,8127442,7621761,6522834,7595590,6237456,8697067,8045273,5518486,6861473,6368758,8409776,8253616
2021-11-01T03:35,8041913,6288385,8466730,9911070,6764262,6512331,5981725,8263143,7015451,8816420,9461273,9566046,7014048,7226588,7473115,8413299,8597847,7651914,5895511,8309190,7239800,8071082,7646796,7337619,8729367,7741526,7529980,7141755,7871058,8260211,6410310,7246927,8582310,7962471,7086872
2021-11-01T03:40,7345975,7190076,8958553,7623911,7945796,8313518,7655648,7659024,6901391,8281978,6182787,6614132,7162436,9159387,7209215,8053739,6859873,6894192,10406135,5350172,6517547,8381474,9996607,8519402,7070739,7937399,6733946,7996676,7959798,8083856,8356808,7321938,7209081,5354695,6823106
2021-11-01T03:45,7908582,7566426,6685753,6293032,7896459,6778708,7498917,8877260,7504301,6588160,8337368,7150442,8734159,8448115,5937743,6568454,7355972,6851433,6988804,8086411,8193637,8252245,5136937,7066879,5554083,7717341,8381521,6731061,8645133,5977972,6221547,8726076,6791059,6839160,9504748
2021-11-01T03:50,8591809,7375644,8581340,8423603,7395686,6486441,8007080,7921605,7690691,6086889,6426525,9474387,7083246,7638957,8834697,7268248,6558485,6706895,6019023,8480974,8232967,7210294,8468320,6070238,8689249,7390358,5201260,6166767,8806388,6932776,7783838,7326240,6757938,8811472,6804333
2021-11-01T03:55,5962352,7511308,5368178,8622463,7684528,7374125,8493086,7438787,6583273,6828915,7420769,5751559,6074309,7573288,8851849,8219359,6730107,9050832,7457881,7709986,6324155,6132019,7574964,7079285,8402217,7272673,8520709,7251142,7454505,8107511,8560861,8694291,6231544,7821977,6719949
2021-11-01T04:00,6949231,6763128,7360738,8911128,7070011,8295813,7475954,6977718,6563336,7853125,8241163,6810158,7371036,7440582,6966043,9849037,7323772,7788300,5838783,7400469,7494202,7777321,9207600,6921155,7360255,9893503,6551161,7502506,6950389,6419043,8050257,5758298,7282397,5016743,8333404
2021-11-01T04:05,7997516,6593118,7782039,6642471,7081083,7668550,6398142,5435985,9055357,5890564,7545318,8338240,8142764,6799533,6899597,7775070,8404735,6055454,7830643,7779524,7528824,8543224,6850946,6884673,4245137,7193932,5887678,5993424,7561446,6061662,6670136,7591012,7100164,4291688,7614297
2021-11-01T04:10,6929193,6187532,8512391,5474137,6947561,7575154,6529008,6944059,5312041,5877525,7026598,7030085,7355628,6256697,7304137,7376643,7454352,7714399,7920670,9714739,6710098,8260340,6817523,8921006,6868054,7470034,6919326,9255226,6826334,6501363,7059299,9068243,6518954,7602430,5905849
2021-11-01T04:15,8987047,5963947,6336610,7828783,6911318,6699251,4494427,7378896,6906621,6181086,7201848,6849099,8038150,7587573,5044826,6912571,6719942,6478335,8055155,5059558,8488929,7438307,8425210,7892685,6339273,6943629,5965591,7369977,6875988,5961940,7384464,7735837,7728576,7818104,10507091
2021-11-01T04:20,6451508,7434498,7355644,6928218,7145558,7436102,5551524,7297562,9151496,6267838,8960822,10322824,6311389,6859234,8489534,9935868,7856095,6727849,7135166,8679629,5013627,7040782,7745022,7491007,6989082,7887812,8077549,6070891,7122205,8222228,6016843,9132772,7957086,6412516,5357134
2021-11-01T04:25,8213438,5005365,7119622,8666708,8611827,9838294,6791330,6007451,7087929,6765625,7999557,6011361,7789875,8128736,7680745,8846174,9353601,5830669,7794776,7022109,7834868,6525687,7476624,7528443,6762546,7751718,7750811,5780938,7218976,7269195,7167349,7541369,6353106,9132972,7715217
2021-11-01T04:30,7647763,5369179,6723341,8782236,7181775,8239054,9305984,7005339,7211075,7112669,7301968,8103555,7351172,6937037,5877863,7725292,6810022,7355667,8990454,8235426,8861993,7094480,8819591,7772995,6899429,5596892,7497801,8756151,7314666,8643842,7063767,5619747,9303374,6049519,8688195
2021-11-01T04:35,7571393,8152545,8390951,6285096,8964314,7534533,6247746,6466871,8126556,7576324,6394328,6936569,6370702,8241879,7954245,7046531,7287689,7394108,7061259,8108475,8705638,7073516,9000370,8172330,8189157,6367334,7010271,6172345,7618927,7322028,7982739,6907421,5106751,7084239,7827560
2021-11-01T04:40,6979785,6771494,6596115,7999882,6508704,6327586,7248805,7295407,5540782,7274576,5603921,6971672,7030266,7728909,8595245,8137003,6517690,7632653,7961433,6971089,8838902,7444460,8829699,8748364,6934142,5081962,5984821,7114598,4284356,8527936,6550123,7250652,6485478,8105214,7035735
2021-11-01T04:45,6561646,7728311,5095547,5713497,5319656,7613051,7863811,6946801,8709350,8317130,7350590,5928953,7855385,7472919,6344258,8155118,8882709,8220805,6837369,7563806,8456952,6841066,6010100,4913210,8590625,9067652,7258635,8345330,8188316,6687402,7526843,8853937,7334192,7259573,6746658
2021-11-01T04:50,6464838,7133841,6950903,7284675,7751993,7348116,8098825,7099141,6402940,7924461,7188457,6612885,7607765,7409416,7875659,8297041,5403436,7675512,7051843,7808675,7351150,7454547,7273581,7620933,9229460,5487028,9378575,6496143,4885325,7824631,6872588,7060683,6040563,6853393,6888236
2021-11-01T04:55,8789354,6349023,7923182,9527463,8057375,6546905,9125465,7676512,7607090,5308636,7523397,8757321,6028029,7060059,5612211,8205296,7628780,6058786,6608785,7828331,8082392,7431591,5389081,7982124,7837379,8304562,6321075,7583571,5488935,8914487,7720517,6161040,7464653,5875641,7002413
2021-11-01T05:00,9635707,8065586,9179851,7437030,7406619,8517709,8788117,8121011,5445214,8543221,7824230,10160930,6764458,8131424,6345972,6290073,6211075,7357433,7536071,8850600,6825341,7266758,6577372,7512476,8113394,6165359,8489613,9413781,5770467,7192192,6612990,7883094,7674164,8976213,6354810
2021-11-01T05:05,6802415,8143347,6921762,8229822,7026813,7104658,6776122,7106087,7316237,6502840,7342709,11078633,7115258,8015642,7736304,9101208,6326894,7033305,10113851,7312833,7593137,6110272,7643959,8623447,7741649,8330193,7110558,7714062,6127737,7428014,8633919,6484280,8722612,9541517,9305131
2021-11-01T05:10,9292400,8184225,6764648,7608625,8306438,6958683,6617419,5763839,7387281,7502639,7330778,6658601,7472897,8237319,7606661,6219233,7295718,6302671,6648357,6341773,9624538,4904445,7258104,9046289,7199692,6155740,7028211,7175027,7320832,5919944,7189165,7373179,7502123,7048939,7155575
2021-11-01T05:15,5988590,7150240,8557988,8379342,7880960,8217694,5414396,6920027,7600722,7850731,6808772,8797295,8011422,7031085,5280418,7692191,6919574,7134689,7711820,8167454,5712169,7880911,7388111,6095235,7195709,7593615,8185877,6651080,8321876,9410657,8648055,5732365,6764195,7045419,9191101
2021-11-01T05:20,8687264,6785656,7995367,5720404,5367289,6846319,7108216,8716433,6842931,6848148,8655694,6085213,7433202,6019851,7088255,7841419,6668855,9013640,6091685,6339700,9381080,8271778,8121647,7171708,6807366,8996074,6926488,8590323,6516813,8285563,5964914,7817080,7934688,6696671,7515118
2021-11-01T05:25,7072565,7871017,7344143,7798513,6761135,8593151,8365428,6198944,7384807,6504560,6969547,7037746,6773750,6559555,9022387,7121653,7875253,6351138,8826478,6993804,6879082,6594015,6165295,7973496,8354896,8609031,7886157,7183800,7656348,7226867,8601284,7040633,7465192,7038006,8608743
2021-11-01T05:30,6696352,6623594,4857132,7870559,6072660,5037733,6750254,5994975,4697197,7947118,5506259,7266168,7239816,7366356,8835724,7026442,8134387,7405817,8143725,8507803,7165714,6411088,6873591,7118968,7456948,7244447,6735664,7677777,7592145,8414883,6311932,7905470,7306767,8170046,7472408
2021-11-01T05:35,5831195,7333807,6290626,8422557,7545826,7609448,8925682,8247193,6823184,7050760,7643704,5995151,5979710,6842109,8856579,6388475,4700892,9212797,6455296,7057941,7127453,7711108,7356719,7145483,8210562,9457101,6835811,6528507,7703460,7539019,6461600,7415139,8942347,8358216,6227963
2021-11-01T05:40,7151954,8259507,7742460,8338637,8578419,5882866,7334789,5846211,6338482,6660225,7774079,7363585,8189218,6724688,5897630,7673543,6549627,6864345,7542404,7789654,7287404,5264608,6711301,7222353,8000917,8730494,8697962,6779957,6826134,8924809,6950974,8252331,7665003,6828446,6411480
2021-11-01T05:45,10429639,6528972,7084570,6701901,5637050,7237501,7556515,8201088,7139993,7605071,7593526,8772113,6145206,7348963,7988112,5944060,7523267,6456335,7445211,8270460,8965575,7675268,8133059,6838925,7900487,7507545,7081217,7911084,9034631,7054311,8614430,7908737,7442149,7943948,7177567
2021-11-01T05:50,7642704,8373817,6198783,7855977,8568813,9846523,7710012,8723523,9949902,7262654,7960580,7818433,7023007,9247779,8560888,6397479,7682287,8092165,7233858,8280470,7802239,6114100,8088305,6337526,6892802,7696340,5067665,6579570,6986358,7324533,7577118,8037161,6472181,6161506,7071576
2021-11-01T05:55,7738148,7401189,7347595,6596407,8797783,7759272,8862350,8077594,9075290,6488214,7747225,6643711,6622094,7282374,7898879,6835159,7804833,7503729,6478123,8341072,8748318,7839688,8628803,7441974,7964362,9140100,6696311,7967717,7879387,6347987,6730507,7065671,6570317,7500948,6027721
2021-11-01T06:00,5924220,6998393,7605644,6231634,5690948,6644709,8110556,6749696,8316334,7596139,7475671,6935182,9919251,6616098,7430293,7251918,5951686,8367754,8545425,6579368,7507222,6268597,7035393,5845008,7760119,7441956,7693860,6519124,7330177,9027449,8900929,6196787,7424866,7094323,8241110
2021-11-01T06:05,6812003,7632486,10535474,7851484,6723926,6819503,5190776,7923332,7625472,7429906,7035950,6399201,7782986,7216599,9026939,7209279,7664404,9921104,7544605,6514838,8053319,7614892,6562713,7416602,7064375,7360275,6079936,8488422,8028176,8653161,6783876,6764062,8564795,7862509,7477627
2021-11-01T06:10,10078619,7397246,8632493,7005084,7586045,9233604,8059838,7355298,9810525,8278816,4964947,7846357,6934722,6644556,8426793,6838275,6769214,8618389,5945939,10248452,8046926,8389101,6742874,7982634,7399851,7612896,5785563,6763213,7485412,6157157,6989775,7500862,6877263,6030003,7458930
2021-11-01T06:15,7603417,7644135,6999043,7045163,7057118,7624918,8837443,8076059,8455725,8707460,9913483,6781511,5954114,7643233,6290895,8353315,7209536,8360869,7883413,6317886,5855834,7590821,6168792,6638656,7478096,7984765,8697268,6227283,7374822,7759165,7504563,6800064,5770805,8327541,8249411
2021-11-01T06:20,5306458,7906231,6531202,7013990,7789672,7640015,8566377,5930860,8913238,8470748,6017947,6287117,8997113,4647001,6156931,8951038,6664949,7146001,8741788,7859278,6812441,5449234,7894499,7693156,5587554,6573563,7992887,8132686,9467934,7277749,7517146,7964401,7632537,6765704,7805641
2021-11-01T06:25,8594523,6241013,8180458,8000856,7588652,5873053,5792450,8538076,7247764,8685074,7615332,9295925,8060403,7282399,8163203,7124184,6956792,8089452,8708434,7502216,7187929,7528335,7008777,7002849,7350720,5025001,7350521,6618441,7062160,6536265,6876456,5943538,6651223,7738878,6388172
2021-11-01T06:30,5408299,6135805,6337108,8116203,8386290,7508579,8557155,5915863,6552150,7628292,6414021,5515875,6444648,8328309,6374339,6811798,5651958,6780676,7587922,6457640,7634314,7122364,8883901,7027364,6641753,5926686,7273116,5677892,7456716,7740192,9404944,8808475,8750940,8841276,5679883
2021-11-01T06:35,7433749,8502849,6881563,6914924,7278437,7572162,7990281,7177680,7313649,8106901,8278422,6313239,8481254,5862794,6010929,7344141,6111066,7866332,8525483,8225585,5313607,7425835,8143788,8082169,9368352,7477076,8350502,8544514,8194787,7700545,6195274,6463969,9083823,7708307,6722378
2021-11-01T06:40,7452323,6743456,6612541,8820047,7455246,7135143,8729975,7129096,6397499,7945904,8091754,6774296,5825729,7610968,6714713,5544994,6964555,8715436,6927368,8780990,8238367,7601886,6987737,7621404,7034302,9927649,8859470,8126641,7387879,7807255,9965206,8600048,8949003,7624221,7964226
2021-11-01T06:45,8568673,6760944,7681459,7521129,8143222,7274703,7555540,8510984,9666687,5179697,7071818,6354682,8776679,8303979,6407366,8426116,7894874,6689883,7449347,8343776,7134024,7429271,7109728,5556185,10239630,7975146,6378257,7279622,6261182,8126795,6824282,6653891,6321608,5580642,5624318
2021-11-01T06:50,7330811,7632630,7033966,5896832,6256255,7004706,8182980,8689651,5846150,9220733,6688296,6453607,7287601,8338656,6171405,7552259,7391636,8863327,8799115,7923560,7662434,6949098,8218806,7347943,7430162,5530307,7191780,6017665,8665927,6666291,7373131,7244195,8028415,7561440,9132728
2021-11-01T06:55,6570095,9372624,6808974,6014873,7207296,7199678,7546992,7116809,7539763,9062228,7847064,7709152,8395574,6188118,7067261,6462763,6865384,7487102,9664942,7538014,7400735,7250916,6594002,8692078,7978514,8109161,6448618,7664550,10022633,7580383,8082232,7317220,6941261,7918143,7006195
2021-11-01T07:00,6329715,7810086,7974911,6307042,7250346,8095676,6866546,8384709,8675134,6839022,5316883,5443553,8205508,7699285,6809988,7462241,7000445,7233536,7471445,7379755,6647917,6558987,6360457,6841329,9548290,9720090,8262952,6532582,6784134,5535542,7182795,6637411,6590636,6697677,7688379
2021-11-01T07:05,6119757,7468196,7986657,8304384,6376052,7412555,7334341,5956544,9387299,7827738,7694298,7787947,6748427,5334202,6861845,7775848,8280607,7065082,7470427,6530778,7571084,7668842,6833357,7669667,7047093,8469809,7526025,6186521,6629385,8537172,7895942,8514377,7221106,6660707,7127561
2021-11-01T07:10,7441794,6385388,6933568,7276071,8451969,7686017,7419125,5632237,7425786,8663881,5551705,6489625,7892938,7489884,7969235,8664124,6351250,7094692,5870184,6245521,8549088,8272192,6980983,8178166,6991669,7411813,8275270,8474388,7624008,7116027,8957866,8206891,8142478,6172457,8617315
2021-11-01T07:15,7647799,6474340,7130123,9117544,7325862,6393305,7406049,8428877,7273382,6986123,6178189,7256938,6761027,7028963,8230947,7628027,7122607,8236241,5968332,6879997,6747679,9006084,6354543,5938469,7275609,9085367,6659995,9397991,8354224,6528477,8841815,6081301,6700888,8693142,7717580
2021-11-01T07:20,5706904,7494674,6852727,7450035,7939436,9501802,8261129,6906092,8038284,9048165,6938694,7974380,7701035,6023476,9365105,7746256,5858883,8174857,8110523,7358894,7182182,7180121,7170578,7576102,6241925,8203195,7154826,5830776,7594850,4464955,4923588,7445557,8083831,8449359,7400526
2021-11-01T07:25,8408575,7887496,7279835,6984526,9044822,7273091,7182766,6774068,6487107,6912757,6362945,5623408,10153396,7512169,8105053,6889772,7987047,6626797,7576392,8168838,8258848,7955897,7942161,8645719,8424476,7870419,7642333,8066959,7476447,7385661,5474185,6030846,5648905,6726374,5488556
2021-11-01T07:30,7479793,8360517,6564427,8194379,7362503,6396281,6517082,5566439,5812428,6973176,7837721,7751634,6947544,6604870,7389884,6620488,8167288,8591698,6429017,7751013,6764350,6685159,9441790,5759370,7664218,6824471,6907390,7550487,6632239,9180153,8405811,6905088,7813375,7362043,7494982
