mtime,AB,AM,AO,AU,BT,BY,CV,D,EH,EX,F,FT,FZ,GI,GT,HK,HT,HY,IK,JT,K,KN,KR,KT,LM,LP,MP,NR,NV,PU,RS,ST,TW,U,WX
2021-11-01T02:55,7046436,6221900,6954673,6694058,8169966,7305167,6646124,5478273,5872132,8703536,7122335,10456067,7783654,8613139,6904537,6659019,5846083,6729216,7954935,7085768,8259484,6434254,8383338,8752065,8118532,6104856,5975190,6894014,10796673,6624802,6346845,6148193,8919411,7603390,7424561
2021-11-01T03:00,9795954,7844427,6511184,9209774,7728553,6113320,8721228,7298213,10113159,9093735,8953675,7306212,8329019,6428929,6087677,6586474,5810630,7733068,5994464,7636472,7983918,8274233,8092126,6553147,6557084,4918976,7641755,7635994,5198856,6587776,8550566,6145170,7476040,7520461,8463244
2021-11-01T03:05,6587211,8486223,6462304,7276875,7324458,6909058,6320416,7008594,7966313,6022948,7386488,7751425,6363313,8899855,7179499,7410148,6014820,6835895,6919874,6695859,8138218,5343234,5074327,8054806,6732283,7921301,7228448,7657896,6333168,7281438,7733767,5872523,9071078,9343200,7240001
2021-11-01T03:10,6158043,7457734,8467805,7769441,5737115,9207443,7525691,6446201,6276495,7938030,7099895,9546692,8319392,6340330,6254930,7750085,6710486,6537787,7581168,7115425,10079767,5796660,5992024,3993666,8930557,6650113,6666000,8000072,6618030,6861926,8060631,6305451,5844272,4712255,9835663
2021-11-01T03:15,8003980,6601753,7197723,8160903,9988076,7102808,7221161,7852121,7628349,8488663,7395169,7578430,7609627,7525736,8306806,8195467,7745724,6190379,7069480,6216477,8586149,5955565,6407784,8582564,9890475,7837155,7682825,8622323,7963423,7040060,7943207,6129961,7110157,6900834,7618939
2021-11-01T03:20,7290744,7903375,7652984,5909142,7603015,7286452,7494496,8375575,7217444,6007020,9696371,7861602,8894411,6782140,7771150,6079165,5919366,7420065,6624543,8741483,8229023,7490064,6055577,6181245,7281872,7806799,7207770,7203706,6084884,8517886,7523133,5696876,6963648,6667118,7795200
2021-11-01T03:25,8078088,8489443,9944179,7087729,5775833,6804415,8437423,7913730,7264772,7189456,7615912,5746590,7865186,7718372,5637171,6572985,9503286,5959190,7653822,6404172,7248344,7514819,8284381,7508545,6873996,7663488,7141929,8134727,7933326,7488803,6925538,7744625,6390130,7147617,6481515
2021-11-01T03:30,6021720,7497955,6234624,7386953,7778230,6461513,7495275,7379316,7265270,8386665,7562016,7425611,7736274,8160114,8146578,6393331,7329038,6418498,6806245,6842504,8146199,6234842,9697056,6795618,7777616,8529060,9018608,5637748,7506731,6610143,6888229,7912651,7864825,5913283,7559339
2021-11-01T03:35,6704361,6287875,7765377,7655898,8343552,8099184,5092289,8659740,8352329,9021250,6222057,8387034,6364235,7812547,8241231,6804036,6925289,7428731,8080610,6847640,5618936,7490921,7748666,5619886,6952776,9233171,8277248,8888334,5970716,9158258,8081546,6941040,7687438,6010963,5657632
2021-11-01T03:40,9006819,8051654,6579548,8240504,8133613,6354443,9158853,10203404,8373346,7462695,8321634,7847749,8586210,8514063,7524169,8684915,7655438,7974260,7706940,7302640,6331462,8392521,5902604,7883456,6039047,5609831,7921361,6399173,7872232,7029459,7802512,7549307,7155488,6268917,9160073
2021-11-01T03:45,7636282,7405551,8194613,7565867,6132205,8233800,8259850,8724338,6275631,5806187,8132305,8558707,9686418,8852870,6449033,8589988,6610265,7339359,7225733,8367139,6898147,8044504,5869881,5811574,8150046,7005723,6970435,7423898,7013350,5153700,7191027,7102157,9021247,7380251,8845556
2021-11-01T03:50,6670020,7321583,7083923,8297060,9328460,7805530,8473629,6333997,7709627,6843716,5443729,7963783,6382159,6044190,6661909,8474163,7622191,6116460,6955850,5926924,6910418,5793785,8311112,6623796,7079667,7733488,8102911,7640874,7942642,8232862,6183250,6725996,7367644,9938356,6787298
2021-11-01T03:55,5438713,7418495,7490030,7001077,5741633,5360173,6279179,8348219,8928526,7993039,8199840,7904729,9812125,5674279,6596643,6355209,5954815,7228316,5793894,8016591,7796746,9504852,7401117,7491164,6699652,8315150,6798414,7369029,7222940,5705142,7741027,7917744,7466828,8018671,6903659
2021-11-01T04:00,5662522,7968900,5357527,5241080,6247350,8097561,7901248,7420267,5896836,9734793,6905339,5862227,8486179,6279171,6754343,8253806,5654321,7876327,4666110,8690731,8488786,6171145,6839201,6672093,7215714,6742883,7179691,7368271,8985470,7727476,6756374,7030986,9224532,6238946,5617116
2021-11-01T04:05,7074443,6186948,6989250,6165793,8134878,6977098,7240570,6741545,6091681,7221434,9659702,6859745,7334822,5848197,7142246,6875807,7921086,6747418,6779980,6116011,5284077,8236156,5810689,8452113,5686396,7055988,7756239,6385236,8113651,6713812,6743535,6502528,8918054,7246684,6658075
2021-11-01T04:10,8340021,8143164,9723385,6072295,7687005,7417808,8345932,7129139,5469133,8977045,7435972,8903105,7513534,6415764,7737609,7033633,7514585,8497671,8145873,6597416,7359782,8583098,8275232,7329775,7860421,6549813,6053325,7597423,9011905,8723281,5812761,7889540,8922415,7667237,7967984
2021-11-01T04:15,5695477,6130036,6215378,6817715,6752121,7958115,7894218,7250467,6874794,6414355,6057724,7232748,7554219,6008813,7910893,5128867,8148793,7178074,8874974,7076130,8078185,7748396,7570895,8441982,7478345,5169444,7464500,7183980,8243031,6837027,7880695,6602109,7474431,6790994,7744068
2021-11-01T04:20,5982368,6914860,6491190,6761902,7417205,5868782,8268503,7453554,6810803,6888488,8481193,5603898,6407088,6867810,9671920,8633448,7409054,6385705,5279954,6506830,7602908,6523004,6908790,5850960,7030369,6201296,6808644,7927836,6621612,7515782,6832335,7233841,6320069,6625278,7716438
2021-11-01T04:25,7308938,8501883,7649492,7391002,7310266,7465192,7467338,7633402,7575370,9101434,8076006,8704997,5479926,7403570,7045792,6492637,7569318,7324876,7273451,7960685,7392953,8972111,6629369,7236749,7599732,7129422,7699413,6934304,7388696,8017974,6789098,8115537,8113523,5615162,6641555
2021-11-01T04:30,6253811,7661249,5514050,6811106,7064957,7577174,6586666,6809506,6459699,7731300,7250265,6972418,7928590,6474198,7786677,8077365,5827658,6556916,7165362,8966078,6888099,8409608,7462555,7009385,7191454,7003367,6654166,6513244,8071929,7848773,7001227,7664444,6658106,6924283,7185896
2021-11-01T04:35,6613559,8653971,7519461,8372237,6952808,8315720,6932522,6273042,7877729,5528335,5662149,7735712,5143198,8838610,7067640,6045821,8752104,8924658,7587515,6957926,6893762,9169211,8307633,6506079,6532256,9469208,6874240,6795381,6904012,7985866,6818876,7955028,6595525,7479977,9860147
2021-11-01T04:40,5436686,5602533,8332538,8879859,7341875,7991382,5549288,8444558,7784752,7081919,5764211,6565373,7516916,7453009,8490345,8195533,7639327,7384013,7997111,6917129,8965463,7847556,8962672,8776843,6723133,9281958,8603648,7076274,7310008,6547846,5648554,5341845,7665106,8060946,8158495
2021-11-01T04:45,7328289,7573448,7679520,7206931,7771052,8034974,6177280,9266222,7570049,6696368,7699448,6036828,7448262,4134552,6875619,9739123,6944253,6734441,7146993,5579824,7386659,6879770,7972029,6980688,7348571,6427108,7078667,4682992,7610349,6066066,7527789,6862555,6644985,8829735,6105405
2021-11-01T04:50,7074760,8657699,6937004,7721411,7809447,6731566,8068777,7524454,8601082,7599621,5503876,7629937,6031228,5581576,6774146,8049285,4891050,8521293,7933679,5599008,5357089,6385917,7449824,6309356,7776713,8556993,7408306,7805602,7439240,8210313,6458139,5081109,7857684,7733051,7233908
2021-11-01T04:55,8981841,8996819,6817716,8783074,7758951,6889706,6438429,6880971,6676199,6647951,5934841,6442566,7325190,6438893,7036731,6487212,7395850,6413626,8248080,8729202,7541857,6797988,7376306,7603735,7435301,6980345,7792972,7409486,7449712,7597698,7156645,7268771,6085383,6736874,6679483
2021-11-01T05:00,5001798,7783825,7204761,6574404,8088448,8672305,7508789,9951939,8204421,6952338,5503388,7489129,6668782,6701089,8704184,7312151,9495936,6982647,6268948,8021097,6940465,6864828,7111615,8607479,9516837,6752111,6626062,6083896,7094511,9822590,7651901,5534026,7507686,7450909,6312160
2021-11-01T05:05,8644374,7479681,7235956,7728500,6534699,6526143,6796430,8661284,6824098,7290800,7119665,6257545,8221135,7009766,9028866,8694625,7301311,5844108,6500369,9238874,7973053,8625770,8099210,7949883,5739999,6790199,9244363,8499356,7515101,6887798,8562881,6592883,8358286,7677704,6159798
2021-11-01T05:10,8854353,6822585,6346848,7485442,5251131,7789818,7601918,6737770,7573772,7539813,7110320,7985641,8127068,8626751,7609628,7356970,5456240,7295921,6733188,8608515,8900087,6382169,5688088,6658205,7529482,8289618,7436981,5855433,8310275,7778161,7823069,6217294,5546543,7066040,5957125
2021-11-01T05:15,7668665,7635073,6516132,6177126,8292031,7194927,8810287,7021978,7224108,7033516,8942667,9232306,8780996,6596822,6638242,6965891,7503393,6663377,6939120,7927150,7812613,8720023,8145913,6289453,8929465,7513679,8047999,7525501,7235048,7331931,7763093,8347065,6376104,9225887,7204479
2021-11-01T05:20,9551488,6768080,8084851,7494399,7800573,7361881,8088934,4784549,7429947,6507801,8893820,7924655,6088911,6995113,7512212,7670643,9265112,7773576,7140628,8836024,7226480,7042815,8906243,5630142,8422805,7228905,5805771,8159856,7350037,8053691,8070164,8429615,7209738,7864242,6867836
2021-11-01T05:25,7196570,7415494,6373898,7387431,8303696,7236868,8532421,6522913,7608308,6229066,6403937,7760627,7036117,7398814,7733512,9543735,8866832,5643900,7668886,6516569,7650933,6673747,6070723,7111462,7350623,8871463,7452164,6593278,8209202,8555388,6717762,8277148,6767253,6444502,8604237
2021-11-01T05:30,7617838,7074870,7523474,8253537,7409785,6137926,5792806,7862454,8497068,7752760,6521744,6340618,7543237,6551385,8704371,6838000,8282263,5937121,7054272,7792106,6973211,8522717,7461557,7205200,7269565,8006617,7057627,7994105,7369349,7259849,8760767,6897264,7616048,8147391,8355726
2021-11-01T05:35,8622712,5360235,4901404,7170827,8431733,6028640,7554514,8788062,7656275,6332147,6147539,7930865,6428050,8559821,8196212,7292425,7831820,8308270,6879847,7123345,7315038,7073908,8980478,6796864,6349562,8156511,6907352,7480158,6512484,7027843,7249902,7470049,7561578,8720233,6886396
2021-11-01T05:40,7092360,7488876,7188605,7934494,6623639,5643638,8115994,6348068,5791795,7046827,7864043,6893992,6926419,6576890,8202360,9088874,7397668,7863561,8346577,7365423,7993735,5573155,7298528,7914278,5534613,6205175,6225457,7522693,8064379,6616456,7660648,5682245,6192436,7644190,7862273
2021-11-01T05:45,6868160,8278877,7235671,6024234,7362729,7924495,7904896,7833378,7909167,6625794,7820666,8852025,8183311,5581109,7672912,6736707,6633971,8539310,8231631,7573148,6665943,8935335,6367164,6553466,6064501,6248747,7384486,7244739,6985955,5849727,7490814,8276113,6518729,6045361,7845431
2021-11-01T05:50,7743375,7769377,6676895,7913050,6614681,6688023,8721546,8451846,7404508,7269859,8647976,6342471,7136577,9655499,7920905,7794540,7823254,6053435,7280117,7671681,8258723,7279572,8047028,8848132,7870694,8537968,7667318,6666798,6430275,7442897,6305720,6745640,9127868,8133482,8583912
2021-11-01T05:55,7276757,7828966,6025254,7950124,7223577,6913082,6064783,6572868,6014673,8040939,7801507,7473570,8390425,6831649,7074469,5186867,7959136,7077547,8272869,8127904,8439845,8165118,6969188,7393930,7055371,6561789,6416768,6664152,5954943,6251725,7453042,6662375,5354547,9063344,8936156
2021-11-01T06:00,6351798,8087161,6468386,10058477,6169444,8172929,6641156,7948516,8330805,8125063,6866137,7743534,5732482,6376453,7785052,6701135,6247051,8345405,7181225,7179286,7539458,5802912,6247584,6995314,7621719,7813804,9099523,7474977,8221316,7523377,9527617,7609300,8137104,6843621,8459496
2021-11-01T06:05,7027601,7496049,8474222,8847536,6431681,6139635,7276332,6226342,6706023,8299065,5917772,6823624,8079410,6481143,7117436,7886069,6055943,7578045,4975859,5860047,8685952,6888210,6431159,6731580,6296729,6556746,9178522,7586049,7972615,7190334,8265428,5417764,8521791,6637398,6891691
2021-11-01T06:10,8741327,6561516,7344357,7498837,6119361,7464276,6471387,7489432,5977986,6202302,6536710,5541180,7955948,6911624,5968298,8359283,8449244,8323277,6928441,7626800,7399381,8157948,5754143,5741700,6797492,7991449,6525268,7216441,7237372,6804801,7509306,7742545,9740481,7266024,6342991
2021-11-01T06:15,7736504,9065558,5867205,10158273,7630204,6762874,6059325,7840944,7656650,7151005,8235140,7439970,7881236,6662650,8113585,6091395,6623807,7347366,7202889,6043738,5124422,7867940,7611173,8213155,8417205,7354414,6214795,7256834,5342679,6718520,5628565,9240198,5751356,8165583,8052052
2021-11-01T06:20,7133486,9225759,6041627,6574524,7234408,7996567,5103389,7358283,8927975,9033931,9668773,7164791,6929299,6943139,7835055,7116208,6963084,7290661,7584138,7186386,8164098,8499168,7074286,6048210,6126296,6057423,7421870,9628770,6572757,8182243,8789553,6231631,6897890,7460074,7392766
2021-11-01T06:25,6231151,8616356,7721374,7291147,6302519,7235311,8999621,8890269,7588065,6411110,6721305,7446769,4902544,7196784,9681978,7922917,7686822,6570033,8629017,7361627,7672128,6879371,6401911,9042839,6730986,8304157,7947852,5574392,7561163,7628788,6887844,4972460,7150378,8275505,7776016
2021-11-01T06:30,7784177,9657860,6029642,6337926,7786288,5533041,7504870,8140168,6899868,8240222,7860159,8526860,6885565,8030119,4987458,7445902,7048841,7245236,5769193,8947749,5911457,9868067,6404658,7230233,7535008,7195330,6914928,6491734,6099269,4906826,7783566,8303036,6759510,8152295,8254150
2021-11-01T06:35,7108347,7104088,8858823,7362224,8310691,8726439,7639809,6307513,9177438,8551611,7475429,7893712,7179095,7313427,9009231,8447705,7810209,8119004,6636078,6856376,6578510,6886511,6764043,8075678,7201811,7227090,6417383,9060822,8893481,7507506,7494054,8030623,8633815,7001490,8344911
2021-11-01T06:40,5766289,5542617,6837736,6535266,7242655,5258696,7705576,7614462,7666104,6955185,7221057,7949152,7314935,5368692,7109822,5397881,8511321,7581918,7718311,7920222,8517070,6997597,7071280,6348199,7878636,6579593,8005298,8006341,7544408,8601717,7401457,7583151,7082672,6674537,9156890
2021-11-01T06:45,6506630,6852997,8274066,7290352,9105923,7027196,8329013,8008294,6841238,8543619,4814333,7351436,6511665,6278323,7891620,6925354,6944678,9475371,8565827,8546867,4618284,7541264,6480023,9255367,8586659,8830496,6872963,7586738,8816719,6980081,9597201,7183839,6270082,9572695,6381925
2021-11-01T06:50,7422659,7141755,7444319,7089849,7709586,6394075,8638833,7130278,9623895,7578374,7750993,7514014,8679352,5450606,6110409,8216011,8044424,6294751,10123705,7491453,6405980,6191076,6777479,8469875,7588192,7111587,7789968,7738603,8315122,5725147,8136096,8733067,8935196,8473311,7365723
2021-11-01T06:55,7434258,7932845,6895072,5907850,7340081,7044793,7902299,8626557,6229270,7295269,6589626,7840763,7706191,6415573,7073472,8589147,7990733,7602074,9424001,7241340,7276726,7245774,6224538,6238779,7323625,7487598,7838327,5231987,5662235,10108079,6087173,8005516,5245497,4951834,7999255
2021-11-01T07:00,7118605,7266511,8916822,8321151,9479856,5957229,6411053,7674388,8143633,8191114,7929379,9029578,6378734,6892183,7727297,8117420,9096999,6219742,7673843,7090639,8243567,6842650,7700538,6164338,6884741,6884314,6072955,7396745,7959065,5563468,6161588,7085588,7728677,8304037,7619829
2021-11-01T07:05,9404322,7819886,7135379,7260383,6237541,8573634,7544006,7426133,7398283,7859634,6065219,9100563,6890459,6699042,7509546,6829782,9253466,8633968,7441060,7594169,5205902,6378685,7913873,7350603,8194570,7550604,7337959,7259317,7437510,5738940,8578207,8947028,8502671,6841430,6951950
2021-11-01T07:10,5733618,7534013,7465134,7943025,9456391,9339428,6673552,5418372,6441982,6911578,8166328,9839686,8855443,6433677,8067951,6448073,7538683,11009747,5873856,6822650,6757768,6430185,6740677,6775146,7053201,8526248,5481134,8261090,5606537,6754760,7072121,8427303,6837663,7181292,5964354
2021-11-01T07:15,6097719,8349774,9164169,7851581,7663016,7954801,7198212,8456103,6966701,8823066,7037212,9309590,8661145,7475594,5540381,8746724,8455701,7957041,6201303,8414399,10194257,9308343,6850321,6091110,8580562,8943992,8315512,7444367,7734975,6765839,8829778,7118525,7450059,7424673,9184054
2021-11-01T07:20,6840686,7154718,7680106,7238559,6285366,6592633,8548131,7240792,5678112,7639789,6645288,8909776,7595404,5612567,8287976,6295687,6565438,7296043,7065010,7249221,7863715,6351405,5984116,6575667,9235739,7397202,7038780,6791973,5079296,5916938,5780219,8420159,5971181,6141674,8274215
2021-11-01T07:25,7061070,7561803,5735637,7511795,6117849,7470845,6849955,6182222,6347174,7820665,6439290,7712643,6284665,6788575,8236296,6526807,6659453,6394946,5918361,7717198,6858078,5410134,6183806,8333157,7009079,6415276,7130523,7713841,6581550,7271650,8653671,5314925,8624576,5512021,9027476
2021-11-01T07:30,7753292,7665819,8697599,9343146,4551890,7856882,7818315,7622628,6716025,8190059,8031071,8982810,7221017,7618614,7328169,6756805,9850097,6875072,6355580,7469453,9434178,6513856,5782815,5991961,7451099,7706995,8569562,8180741,6922580,8194947,5986029,7221314,6421131,6958687,8828437
